iter	Passed	Remaining
0	23	13789
1	44	13404
2	69	13806
3	85	12735
4	107	12793
5	132	13105
6	154	13105
7	181	13441
8	204	13448
9	223	13183
10	248	13310
11	272	13354
12	296	13378
13	320	13420
14	345	13459
15	370	13528
16	383	13140
17	405	13098
18	430	13165
19	451	13095
20	474	13093
21	495	13020
22	517	12974
23	543	13033
24	565	13004
25	591	13069
26	615	13065
27	637	13015
28	660	13000
29	690	13113
30	714	13108
31	733	13027
32	754	12961
33	775	12906
34	796	12856
35	819	12837
36	837	12741
37	862	12749
38	885	12743
39	914	12798
40	937	12783
41	961	12780
42	986	12776
43	1009	12751
44	1022	12610
45	1044	12574
46	1064	12530
47	1088	12515
48	1111	12499
49	1133	12469
50	1155	12442
51	1179	12433
52	1203	12421
53	1228	12424
54	1253	12417
55	1276	12403
56	1302	12407
57	1329	12423
58	1353	12409
59	1377	12393
60	1401	12379
61	1425	12369
62	1445	12323
63	1467	12294
64	1491	12273
65	1515	12264
66	1539	12248
67	1565	12248
68	1591	12245
69	1614	12222
70	1636	12194
71	1662	12191
72	1684	12158
73	1706	12130
74	1731	12119
75	1754	12096
76	1780	12094
77	1807	12096
78	1828	12057
79	1853	12046
80	1877	12029
81	1898	11993
82	1922	11972
83	1945	11950
84	1968	11926
85	1988	11886
86	2011	11863
87	2035	11840
88	2052	11783
89	2075	11759
90	2100	11748
91	2127	11749
92	2153	11740
93	2178	11725
94	2202	11708
95	2226	11689
96	2248	11659
97	2272	11639
98	2301	11645
99	2320	11603
100	2346	11594
101	2371	11579
102	2395	11557
103	2419	11541
104	2443	11517
105	2466	11494
106	2490	11475
107	2510	11437
108	2535	11422
109	2563	11417
110	2588	11401
111	2612	11383
112	2635	11359
113	2659	11337
114	2681	11309
115	2705	11286
116	2728	11263
117	2754	11250
118	2778	11232
119	2796	11187
120	2820	11167
121	2845	11148
122	2871	11136
123	2893	11107
124	2915	11079
125	2938	11055
126	2966	11050
127	2987	11017
128	3022	11033
129	3044	11006
130	3066	10978
131	3091	10960
132	3113	10930
133	3137	10911
134	3160	10886
135	3183	10860
136	3206	10837
137	3232	10821
138	3255	10797
139	3280	10780
140	3304	10755
141	3328	10734
142	3353	10717
143	3378	10697
144	3403	10679
145	3424	10650
146	3448	10625
147	3472	10605
148	3488	10559
149	3513	10541
150	3535	10513
151	3556	10483
152	3581	10463
153	3607	10446
154	3639	10449
155	3664	10430
156	3686	10401
157	3708	10373
158	3733	10355
159	3759	10338
160	3778	10303
161	3801	10278
162	3825	10255
163	3851	10239
164	3875	10216
165	3901	10201
166	3923	10173
167	3949	10156
168	3976	10142
169	3996	10107
170	4020	10085
171	4045	10066
172	4060	10021
173	4083	9998
174	4109	9981
175	4136	9966
176	4162	9946
177	4187	9926
178	4206	9893
179	4229	9868
180	4252	9844
181	4274	9817
182	4301	9801
183	4325	9779
184	4350	9758
185	4374	9737
186	4401	9720
187	4425	9697
188	4447	9672
189	4469	9644
190	4491	9618
191	4516	9597
192	4544	9582
193	4569	9562
194	4590	9534
195	4614	9511
196	4638	9488
197	4658	9458
198	4681	9433
199	4708	9417
200	4734	9397
201	4758	9376
202	4782	9352
203	4801	9321
204	4826	9300
205	4846	9270
206	4870	9246
207	4897	9229
208	4923	9211
209	4947	9188
210	4966	9156
211	4991	9135
212	5022	9126
213	5043	9097
214	5066	9072
215	5091	9051
216	5115	9028
217	5135	8998
218	5158	8973
219	5182	8951
220	5207	8931
221	5231	8907
222	5249	8873
223	5267	8841
224	5288	8813
225	5307	8783
226	5328	8756
227	5351	8730
228	5378	8713
229	5401	8688
230	5422	8662
231	5448	8643
232	5469	8615
233	5494	8594
234	5520	8574
235	5547	8556
236	5573	8537
237	5595	8510
238	5617	8485
239	5640	8461
240	5666	8440
241	5688	8415
242	5708	8386
243	5729	8359
244	5752	8335
245	5778	8314
246	5799	8287
247	5823	8266
248	5841	8234
249	5866	8212
250	5890	8190
251	5918	8173
252	5939	8145
253	5964	8124
254	5991	8106
255	6019	8088
256	6043	8065
257	6064	8039
258	6093	8022
259	6120	8003
260	6140	7976
261	6166	7955
262	6189	7930
263	6217	7912
264	6238	7886
265	6263	7864
266	6289	7844
267	6313	7821
268	6334	7794
269	6363	7777
270	6389	7756
271	6404	7722
272	6429	7700
273	6439	7662
274	6459	7634
275	6481	7608
276	6503	7583
277	6527	7560
278	6550	7536
279	6572	7511
280	6595	7487
281	6615	7460
282	6640	7438
283	6663	7414
284	6685	7389
285	6708	7365
286	6733	7343
287	6756	7319
288	6789	7306
289	6815	7285
290	6840	7264
291	6865	7241
292	6890	7219
293	6916	7199
294	6939	7174
295	6961	7149
296	6981	7122
297	7007	7101
298	7028	7075
299	7050	7050
300	7079	7032
301	7107	7013
302	7131	6990
303	7152	6964
304	7177	6941
305	7203	6920
306	7232	6902
307	7257	6880
308	7281	6857
309	7302	6831
310	7321	6803
311	7338	6774
312	7365	6753
313	7387	6729
314	7412	6706
315	7435	6682
316	7459	6659
317	7480	6633
318	7502	6608
319	7525	6584
320	7548	6561
321	7573	6538
322	7596	6514
323	7620	6491
324	7652	6475
325	7683	6457
326	7711	6437
327	7736	6415
328	7759	6391
329	7785	6369
330	7809	6346
331	7828	6319
332	7849	6293
333	7875	6272
