bulk_id,spalen,date1,price,mean_sq,mean_fl,plan_s,plan_m,plan_l,square_-1,square_L,square_M,square_S,plan_s_sold,plan_m_sold,plan_l_sold,start_square,value,my_value,value_error
01778D74-9326-E711-96FE-001EC9D5643C,0,2017-06-01,151436.363636,22.81,13,22,0,0,,,,22.7,,,,501.8,184.2,-0.0,
01778D74-9326-E711-96FE-001EC9D5643C,0,2017-07-01,154528.571429,22.69,16,14,0,0,,,,22.7,-8.0,0.0,0.0,317.6,136.1,181.6,-45.5
01778D74-9326-E711-96FE-001EC9D5643C,0,2017-08-01,159650.0,22.69,16,8,0,0,,,,22.7,-6.0,0.0,0.0,181.5,45.4,136.2,-90.79999999999998
01778D74-9326-E711-96FE-001EC9D5643C,0,2017-09-01,165200.0,22.68,16,6,0,0,,,,22.7,-2.0,0.0,0.0,136.1,22.7,45.4,-22.7
01778D74-9326-E711-96FE-001EC9D5643C,0,2017-10-01,168800.0,22.68,15,5,0,0,,,,22.7,-1.0,0.0,0.0,113.4,22.7,22.7,0.0
01778D74-9326-E711-96FE-001EC9D5643C,0,2017-11-01,170575.0,22.68,14,4,0,0,,,,22.7,-1.0,0.0,0.0,90.7,45.4,22.7,22.7
01778D74-9326-E711-96FE-001EC9D5643C,0,2017-12-01,170650.0,22.65,13,2,0,0,,,,22.7,-2.0,0.0,0.0,45.3,22.6,45.4,-22.799999999999997
01778D74-9326-E711-96FE-001EC9D5643C,0,2018-01-01,177300.0,22.7,23,1,0,0,,,,22.7,-1.0,0.0,0.0,22.7,0.0,22.7,-22.7
01778D74-9326-E711-96FE-001EC9D5643C,1,2017-06-01,118138.297872,46.83,13,0,0,47,,46.8,,,,,,2200.9,140.1,-0.0,
01778D74-9326-E711-96FE-001EC9D5643C,1,2017-07-01,118402.272727,46.84,13,0,0,44,,46.8,,,0.0,0.0,-3.0,2060.8,141.1,140.39999999999998,0.700000000000017
